t,node 1 (Volt),node 2 (Volt),node 0 (Volt),V(R1) (Volt),V(W1) (Volt),V(V1) (Volt),V(C1) (Volt),I(R1) (Amp),I(W1) (Amp),I(V1) (Amp),I(C1) (Amp)
0.082000,2.500000,-1.753623,-2.500000,4.253623,2.500000,2.500000,0.746377,0.000425,-0.000425,-0.000425,0.000425
0.084000,2.500000,-1.736676,-2.500000,4.236676,2.500000,2.500000,0.763324,0.000424,-0.000424,-0.000424,0.000424
0.086000,2.500000,-1.719797,-2.500000,4.219797,2.500000,2.500000,0.780203,0.000422,-0.000422,-0.000422,0.000422
0.088000,2.500000,-1.702985,-2.500000,4.202985,2.500000,2.500000,0.797015,0.000420,-0.000420,-0.000420,0.000420
0.090000,2.500000,-1.686240,-2.500000,4.186240,2.500000,2.500000,0.813760,0.000419,-0.000419,-0.000419,0.000419
0.092000,2.500000,-1.669562,-2.500000,4.169562,2.500000,2.500000,0.830438,0.000417,-0.000417,-0.000417,0.000417
0.094000,2.500000,-1.652950,-2.500000,4.152950,2.500000,2.500000,0.847050,0.000415,-0.000415,-0.000415,0.000415
0.096000,2.500000,-1.636404,-2.500000,4.136404,2.500000,2.500000,0.863596,0.000414,-0.000414,-0.000414,0.000414
0.098000,2.500000,-1.619924,-2.500000,4.119924,2.500000,2.500000,0.880076,0.000412,-0.000412,-0.000412,0.000412
0.100000,2.500000,-1.603510,-2.500000,4.103510,2.500000,2.500000,0.896490,0.000410,-0.000410,-0.000410,0.000410
0.102000,2.500000,-1.587162,-2.500000,4.087162,2.500000,2.500000,0.912838,0.000409,-0.000409,-0.000409,0.000409
0.104000,2.500000,-1.570878,-2.500000,4.070878,2.500000,2.500000,0.929122,0.000407,-0.000407,-0.000407,0.000407
0.106000,2.500000,-1.554660,-2.500000,4.054660,2.500000,2.500000,0.945340,0.000405,-0.000405,-0.000405,0.000405
0.108000,2.500000,-1.538506,-2.500000,4.038506,2.500000,2.500000,0.961494,0.000404,-0.000404,-0.000404,0.000404
0.110000,2.500000,-1.522416,-2.500000,4.022416,2.500000,2.500000,0.977584,0.000402,-0.000402,-0.000402,0.000402
0.112000,2.500000,-1.506390,-2.500000,4.006390,2.500000,2.500000,0.993610,0.000401,-0.000401,-0.000401,0.000401
0.114000,2.500000,-1.490429,-2.500000,3.990429,2.500000,2.500000,1.009571,0.000399,-0.000399,-0.000399,0.000399
0.116000,2.500000,-1.474531,-2.500000,3.974531,2.500000,2.500000,1.025469,0.000397,-0.000397,-0.000397,0.000397
0.118000,2.500000,-1.458696,-2.500000,3.958696,2.500000,2.500000,1.041304,0.000396,-0.000396,-0.000396,0.000396
0.120000,2.500000,-1.442924,-2.500000,3.942924,2.500000,2.500000,1.057076,0.000394,-0.000394,-0.000394,0.000394
0.122000,2.500000,-1.427215,-2.500000,3.927215,2.500000,2.500000,1.072785,0.000393,-0.000393,-0.000393,0.000393
0.124000,2.500000,-1.411569,-2.500000,3.911569,2.500000,2.500000,1.088431,0.000391,-0.000391,-0.000391,0.000391
0.126000,2.500000,-1.395985,-2.500000,3.895985,2.500000,2.500000,1.104015,0.000390,-0.000390,-0.000390,0.000390
